Date,Close/Last,Volume,Open,High,Low
01/20/2022,94,23615,92.35,94.475,91.475
01/19/2022,91.35,19667,89.325,91.4,89.025
01/18/2022,89.275,15574,88.475,89.4,88.05
01/14/2022,88.45,17073,86.225,88.6,86.025
01/13/2022,85.325,18229,85.425,85.925,84.025
01/12/2022,85.4,17876,84.45,85.85,83.7
01/11/2022,84.2,22171,84.625,85.025,83.6
01/10/2022,78.375,27943,79.775,79.9,78.225
01/07/2022,79.65,29624,83.075,83.075,79.275
01/06/2022,82.95,22101,82.7,84.05,82.6
01/05/2022,82.275,19285,80.675,82.475,80.35
01/04/2022,80.15,22891,80.775,82.3,80
01/03/2022,81.125,11736,81.525,82,80.875
12/31/2021,81.475,12781,83.25,83.55,81.2
12/30/2021,82.7,10355,83.2,83.825,82.375
12/29/2021,83.825,13780,82.775,84.225,82.575
12/28/2021,82.625,12706,82.525,83.25,82.275
12/27/2021,83.65,9542,84.275,84.65,83.025
12/23/2021,83.225,10211,83.35,83.925,82.875
12/22/2021,83.35,16073,82.55,83.6,82.45
12/21/2021,82.425,23840,79.55,82.775,79.275
12/20/2021,79.475,12384,80.275,80.275,79.175
12/17/2021,80.8,14793,81.1,81.475,80.15
12/16/2021,80.35,11311,79.675,80.8,79.6
12/15/2021,79.325,11252,79.65,80.075,78.675
12/14/2021,80.075,10846,80.75,81.1,79.5
12/13/2021,80.75,13041,80.625,81.225,80.2
12/10/2021,81.025,21104,78,81.15,77.4
12/09/2021,77.825,14695,77,78.05,75.95
12/08/2021,76.05,18086,76.45,77.05,75.35
12/07/2021,76.55,24483,78.25,78.875,76.125
12/06/2021,78.225,20164,80.875,80.925,78.175
12/03/2021,81.5,13458,82.7,82.7,81.2
12/02/2021,82,19372,80.275,82.7,78.95
12/01/2021,80.125,16574,80.55,80.65,79.25
11/30/2021,79.975,27056,80.45,81.25,78.675
11/29/2021,80.925,14596,81.975,82.025,80.75
11/26/2021,81.025,16823,83.75,84.675,80.425
11/24/2021,84.25,16116,83.625,84.475,83.325
11/23/2021,83.275,10321,83.3,83.5,82.325
11/22/2021,83.025,10783,82.475,83.375,81.625
11/19/2021,82.475,14759,83.3,83.725,82.375
11/18/2021,83.3,16586,82.7,83.65,82.65
11/17/2021,83.15,16962,82.2,83.475,82.125
11/16/2021,83.375,17811,81,83.425,80.725
11/15/2021,81.175,11939,80.55,81.275,79.875
11/12/2021,80.55,19638,79.375,80.9,79.175
11/11/2021,79.075,16101,78.9,79.825,78.625
11/10/2021,75.7,27570,74.5,75.875,73.7
11/09/2021,74.95,23642,76.4,76.4,74.875
11/08/2021,76.375,17766,77.2,77.325,75.875
11/05/2021,76.55,21933,77.8,77.85,76.275
11/04/2021,77.875,21786,77,78.225,77
11/03/2021,75.95,16389,75.05,76.05,74.5
11/02/2021,74.25,18591,75.675,76.3,74.075
11/01/2021,76.15,16689,76.7,76.9,75.45
10/29/2021,76.075,22572,75.3,77.25,73.8
10/28/2021,75.2,21874,72.425,75.375,71.8
10/27/2021,71.975,15610,73.3,73.3,71.775
10/26/2021,72.575,14553,73.5,73.825,72.525
10/25/2021,74.2,11035,73.75,74.5,73.475
10/22/2021,73.325,16839,73.2,74.2,72.875
10/21/2021,73.2,22864,75.775,75.775,73.1
10/20/2021,76.025,18612,77.2,78.275,75.925
10/19/2021,77.4,11374,78.5,78.75,77.275
10/18/2021,78.75,10966,77.6,79.475,77.4
10/15/2021,78.275,12807,77.85,78.825,77.4
10/14/2021,77.325,13913,78.2,78.95,77.25
10/13/2021,78.15,15091,77.8,78.525,77.6
10/12/2021,78.175,18145,80,80,78.05
10/11/2021,80.175,16183,80.8,81.15,79.425
10/08/2021,81.5,12467,82.25,82.85,81.425
10/07/2021,82.025,14354,82.725,82.75,81.325
10/06/2021,81.725,16028,81.475,82.15,80.55
10/05/2021,82.55,18463,83.125,83.525,81.575
10/04/2021,83.1,20377,84.925,85.2,82.8
10/01/2021,85.175,14476,85.525,85.65,84.7
09/30/2021,85.4,22156,84.85,85.675,84.55
09/29/2021,83.6,19071,82.7,84,82.7
09/28/2021,83.575,27140,81.7,83.975,81.075
09/27/2021,81.55,17027,79.8,81.55,79.75
09/24/2021,76.8,11288,76.5,77.2,75.65
09/23/2021,76.5,16883,74.35,76.675,74.1
09/22/2021,73.375,7376,73.4,74.925,72.5
09/21/2021,73.6,16560,74.225,74.225,71.7
09/20/2021,74.225,15834,73.975,75.225,71.5
09/17/2021,75.05,14643,74.3,75.375,72.675
09/16/2021,74.45,21789,72.825,74.85,71.275
09/15/2021,72.25,21930,72.575,73.05,71.7
09/14/2021,72.175,25972,73.6,74.2,72.025
09/13/2021,73.375,27416,76.125,76.425,73.125
09/10/2021,76.1,28738,79.775,80.025,75.775
09/09/2021,85.475,32077,87.95,88.25,85.25
09/08/2021,87.375,25971,88.1,89.35,87.25
09/07/2021,88.1,18450,89.975,89.975,88
09/03/2021,89.575,11564,89.85,90.175,89.375
09/02/2021,89.85,13812,89.65,90.375,89.25
09/01/2021,90.15,18370,89.35,90.9,89.325
08/31/2021,88.8,17031,89.575,89.575,88.375
08/30/2021,90.15,15691,91.425,91.425,89.4
08/27/2021,90.725,21630,88.325,90.9,88.325
08/26/2021,87.9,13515,88.9,89.5,87.6
08/25/2021,88.75,15019,87,89.225,86.75
08/24/2021,86.975,15802,86.675,87.975,86.05
08/23/2021,87.475,15499,88.65,89.45,86.975
08/20/2021,88.625,16648,87.6,89.775,87.4
08/19/2021,86.925,16595,88.65,89.2,86.6
08/18/2021,89.1,12298,88.4,89.25,87.775
08/17/2021,87.9,12642,88.275,88.575,87.55
08/16/2021,89,19494,87.25,89.3,87.25
08/13/2021,86.525,13793,86.3,86.875,84.5
08/12/2021,86.475,14282,85.85,87.125,85.85
08/11/2021,85.85,17549,83.9,86.1,83.875
08/10/2021,83.875,21346,84.6,85.2,83.325
08/09/2021,84.6,14758,87.2,87.575,84.6
08/06/2021,87.6,19831,86.775,87.85,85.625
08/05/2021,87.125,12967,89.675,89.7,87.125
08/04/2021,90.125,13175,91.3,91.725,89.975
08/03/2021,91.375,16329,90.125,91.55,89.775
08/02/2021,89.5,11367,88.2,89.825,88.2
07/30/2021,88.025,14491,88.925,89.375,87.275
07/29/2021,88.975,15001,88.5,90.875,88.5
07/28/2021,89.525,14412,92.25,92.375,89.525
07/27/2021,92.525,11944,93.1,94.05,92.225
07/26/2021,93.1,11955,92.65,93.275,91.625
07/23/2021,92.625,13261,91.425,93.4,91.3
07/22/2021,91.725,15935,92.55,92.85,90.4
07/21/2021,92.4,14106,91.2,92.45,91.175
07/20/2021,91.025,12881,89.375,91.2,89.15
07/19/2021,89.375,12945,90.45,91,89.075
07/16/2021,90.75,11123,89.95,90.9,89.65
07/15/2021,89.4,13259,88.6,90.05,87.675
07/14/2021,89.225,17929,89.625,90.575,89.05
07/13/2021,89.375,18027,87.65,89.475,87.375
07/12/2021,87.325,21511,86.25,87.55,85.95
07/09/2021,101.575,21031,101.2,101.975,100.6
07/08/2021,100.375,21359,101.225,101.7,99.775
07/07/2021,100.4,16795,102.05,102.725,100.1
07/06/2021,102.35,22986,100.275,102.85,100.275
07/02/2021,100.225,18726,100.85,102,98.1
07/01/2021,100.3,24386,104.225,105.6,100.25
06/30/2021,103.25,16046,103.625,104.6,101.85
06/29/2021,103.625,16806,103.7,104.175,102.55
06/28/2021,102.775,15921,100.375,102.775,99.975
06/25/2021,99.775,18278,98.7,101.8,98.5
06/24/2021,98.7,33314,99.975,100.475,96.5
06/23/2021,100.725,20638,102.725,103.075,100.7
06/22/2021,103.7,17314,103.55,106.7,103.475
06/21/2021,103.675,20317,106.9,107.2,103.675
06/18/2021,106.675,20968,108.35,109.625,106.5
06/17/2021,107.2,22665,109.95,110.425,107.2
06/16/2021,111.7,13977,114.025,114.075,111.7
06/15/2021,114.7,15208,114,114.8,113.25
06/14/2021,114.8,13826,115.65,116,114.4
06/11/2021,116.975,21359,118.9,119,116.25
06/10/2021,118.7,18631,118.675,119.575,117.725
06/09/2021,118.75,16747,119.075,119.375,117.375
06/08/2021,118.675,18250,118.85,120.15,116.6
06/07/2021,122.1,27550,121.35,122.675,121.875
06/04/2021,120.6,18656,119.075,121.45,118.5
06/03/2021,119,13105,118.675,119.15,118.725
06/02/2021,118.475,17235,119.95,120.4,117.2
06/01/2021,119.65,17011,118.325,120.4,118.7
05/28/2021,119.35,17880,117.375,119.7,117.05
05/27/2021,116.7,11381,116.575,116.85,115.875
05/26/2021,116.4,13558,117.1,117.875,115.775
