Date,Price,Open,High,Low,Vol.,Change %
31-Dec-21,75.21,76.66,77.08,74.95,237.12K,-0.0231
30-Dec-21,76.99,76.58,77.44,75.78,231.16K,0.0056
29-Dec-21,76.56,76.04,77.37,75.36,283.56K,0.0076
28-Dec-21,75.98,75.97,76.92,75.53,249.73K,0.0054
27-Dec-21,75.57,73.38,76.09,72.57,268.49K,0.0241
23-Dec-21,73.79,73.03,73.95,72.27,270.22K,0.0142
22-Dec-21,72.76,71.27,73.16,70.8,306.71K,0.0231
21-Dec-21,71.12,69.21,71.55,68.56,358.78K,0.0424
20-Dec-21,68.23,70.07,70.07,66.04,36.73K,-0.0371
17-Dec-21,70.86,71.92,72.26,69.89,78.13K,-0.021
16-Dec-21,72.38,71.48,72.99,71.03,142.54K,0.0213
15-Dec-21,70.87,70.35,71.66,69.39,294.34K,0.002
14-Dec-21,70.73,71.12,72.03,69.51,359.45K,-0.0079
13-Dec-21,71.29,72.04,73,70.71,406.60K,-0.0053
10-Dec-21,71.67,70.68,72.33,70.32,397.88K,0.0103
9-Dec-21,70.94,72.52,73.34,70.39,393.21K,-0.0196
8-Dec-21,72.36,71.86,73,70.91,464.85K,0.0043
7-Dec-21,72.05,69.72,73.03,69.52,496.53K,0.0368
6-Dec-21,69.49,67.02,70.15,66.72,401.06K,0.0487
3-Dec-21,66.26,67.5,69.22,65.6,449.97K,-0.0036
2-Dec-21,66.5,65.63,67.49,62.43,668.29K,0.0142
1-Dec-21,65.57,67.01,69.49,64.84,602.45K,-0.0092
30-Nov-21,66.18,70.04,71.22,64.43,722.48K,-0.0539
29-Nov-21,69.95,69.23,72.93,68.86,675.09K,0.0264
26-Nov-21,68.15,78.34,78.65,67.4,844.63K,-0.1196
25-Nov-21,77.41,78.38,78.65,77.28,-,-0.0125
24-Nov-21,78.39,78.48,79.23,77.98,328.85K,-0.0014
23-Nov-21,78.5,76.46,78.86,75.3,506.99K,0.0228
22-Nov-21,76.75,75.75,77.16,74.76,465.77K,0.0085
19-Nov-21,76.1,78.76,79.92,75.37,30.70K,-0.0368
18-Nov-21,79.01,78.34,79.36,77.08,83.98K,0.0083
17-Nov-21,78.36,80.54,80.69,77.69,174.47K,-0.0297
16-Nov-21,80.76,80.93,81.81,80.03,325.67K,-0.0015
15-Nov-21,80.88,80.66,81.2,79.3,343.48K,0.0011
12-Nov-21,80.79,81.21,81.62,79.78,390.30K,-0.0098
11-Nov-21,81.59,81.41,82.33,80.2,475.44K,0.0031
