Date,Price,Open,High,Low,Vol.,Change %
31-Dec-21,23.381,23.1,23.41,23.1,-,0.0126
30-Dec-21,23.091,22.905,23.155,22.655,-,0.0106
29-Dec-21,22.848,23.005,23.005,22.635,0.04K,-0.0114
28-Dec-21,23.111,23.055,23.295,23.055,0.15K,0.0057
27-Dec-21,22.979,22.68,22.68,22.68,0.00K,0.0044
26-Dec-21,22.878,22.933,22.94,22.81,-,-0.0014
24-Dec-21,22.91,22.91,22.91,22.91,-,-0.0013
23-Dec-21,22.94,22.815,22.965,22.68,33.91K,0.0065
22-Dec-21,22.792,22.465,22.705,22.465,0.19K,0.0129
21-Dec-21,22.502,22.225,22.74,22.225,0.19K,0.0102
20-Dec-21,22.275,22.3,22.37,22.29,0.09K,-0.0039
19-Dec-21,22.363,22.37,22.41,22.352,-,-0.0064
17-Dec-21,22.507,22.45,22.485,22.45,0.03K,0.0023
16-Dec-21,22.455,22.135,22.4,22.12,0.09K,0.044
15-Dec-21,21.508,21.5,21.64,21.5,0.01K,-0.0173
14-Dec-21,21.887,22.25,22.25,21.66,0.00K,-0.0181
13-Dec-21,22.29,22.245,22.26,22.13,0.01K,0.0025
12-Dec-21,22.235,22.21,22.262,22.192,-,0.0034
10-Dec-21,22.16,21.885,22.165,21.8,0.02K,0.0085
9-Dec-21,21.974,22.28,22.285,21.89,0.03K,-0.0186
8-Dec-21,22.39,22.43,22.445,22.31,0.27K,-0.0043
7-Dec-21,22.487,22.385,22.56,22.375,0.05K,0.0117
6-Dec-21,22.228,22.49,22.49,22.1,0.09K,-0.0165
5-Dec-21,22.602,22.562,22.628,22.508,-,0.007
3-Dec-21,22.445,22.41,22.47,22.04,0.20K,0.0074
2-Dec-21,22.28,22.295,22.4,22.24,0.13K,-0.0009
1-Dec-21,22.299,22.77,22.995,22.155,0.49K,-0.0205
30-Nov-21,22.765,22.885,23.26,22.705,2.51K,-0.0015
29-Nov-21,22.799,23.135,23.415,22.73,10.39K,-0.0335
28-Nov-21,23.59,23.415,23.595,23.337,-,0.0209
26-Nov-21,23.107,23.58,23.735,22.915,61.28K,-0.0201
25-Nov-21,23.582,23.585,23.733,23.562,-,0.0037
24-Nov-21,23.496,23.64,23.695,23.4,54.62K,0.0026
23-Nov-21,23.435,24.21,24.34,23.28,93.87K,-0.0355
22-Nov-21,24.297,24.67,24.955,24.14,78.54K,-0.0143
21-Nov-21,24.65,24.655,24.688,24.555,-,-0.0053
19-Nov-21,24.781,24.85,25.04,24.61,67.98K,-0.0048
18-Nov-21,24.9,25.15,25.23,24.73,63.62K,-0.0106
17-Nov-21,25.167,24.86,25.285,24.85,54.35K,0.0089
16-Nov-21,24.944,25.135,25.49,24.825,77.00K,-0.0064
15-Nov-21,25.105,25.425,25.465,24.97,68.48K,-0.0127
14-Nov-21,25.427,25.413,25.462,25.39,-,0.0032
12-Nov-21,25.346,25.35,25.47,24.925,66.39K,0.0018
11-Nov-21,25.301,24.71,25.365,24.645,82.02K,0.0214
10-Nov-21,24.772,24.375,25.22,24.04,131.56K,0.0187
9-Nov-21,24.318,24.55,24.565,24.09,65.11K,-0.0091
8-Nov-21,24.542,24.285,24.59,24.13,67.62K,0.0135
7-Nov-21,24.215,24.212,24.277,24.21,-,0.0024
5-Nov-21,24.157,23.87,24.255,23.665,73.24K,0.0103
4-Nov-21,23.911,23.53,24.115,23.485,68.46K,0.0293
3-Nov-21,23.231,23.57,23.665,23.045,67.16K,-0.0117
2-Nov-21,23.507,24.13,24.14,23.43,63.00K,-0.0235
1-Nov-21,24.073,23.985,24.175,23.81,37.06K,0.0098
31-Oct-21,23.84,23.95,23.983,23.808,-,-0.0046
29-Oct-21,23.949,24.135,24.14,23.705,57.80K,-0.0071
28-Oct-21,24.12,24.13,24.31,24.02,45.96K,-0.0029
27-Oct-21,24.191,24.22,24.33,23.905,48.09K,0.0043
26-Oct-21,24.088,24.65,24.655,23.925,61.76K,-0.0205
25-Oct-21,24.592,24.395,24.695,24.365,44.83K,0.0057
24-Oct-21,24.453,24.38,24.47,24.358,-,0.0002
22-Oct-21,24.449,24.22,24.92,24.185,83.28K,0.0115
21-Oct-21,24.17,24.37,24.55,24.07,58.68K,-0.0112
20-Oct-21,24.445,23.71,24.495,23.615,73.13K,0.0235
19-Oct-21,23.883,23.25,24.18,23.22,79.07K,0.0266
18-Oct-21,23.264,23.38,23.495,23.035,47.03K,-0.0053
17-Oct-21,23.387,23.335,23.427,23.335,-,0.0016
15-Oct-21,23.349,23.565,23.645,23.1,52.25K,-0.0055
14-Oct-21,23.477,23.1,23.625,22.925,54.28K,0.0132
13-Oct-21,23.17,22.57,23.285,22.48,71.90K,0.0291
12-Oct-21,22.514,22.61,22.79,22.325,42.93K,-0.0067
11-Oct-21,22.665,22.685,22.83,22.495,29.93K,0.0021
10-Oct-21,22.617,22.68,22.738,22.575,-,-0.0039
8-Oct-21,22.705,22.61,23.22,22.435,69.58K,0.0021
7-Oct-21,22.658,22.64,22.84,22.385,41.56K,0.0056
6-Oct-21,22.532,22.635,22.7,22.185,38.89K,-0.0034
5-Oct-21,22.608,22.725,22.73,22.38,27.04K,-0.0016
4-Oct-21,22.644,22.6,22.805,22.29,35.18K,-0.0017
3-Oct-21,22.683,22.56,22.79,22.54,-,0.0065
1-Oct-21,22.536,22.185,22.6,21.99,43.51K,0.0222
30-Sep-21,22.047,21.515,22.225,21.46,66.12K,0.0262
29-Sep-21,21.485,22.475,22.565,21.41,80.16K,-0.0437
28-Sep-21,22.467,22.625,22.68,22.08,55.49K,-0.01
27-Sep-21,22.694,22.395,22.865,22.39,36.11K,0.0125
26-Sep-21,22.413,22.405,22.445,22.395,-,-0.0005
24-Sep-21,22.425,22.53,22.79,22.09,41.67K,-0.0112
23-Sep-21,22.679,22.695,22.88,22.465,43.74K,-0.01
22-Sep-21,22.907,22.485,23.15,22.455,51.99K,0.0131
21-Sep-21,22.611,22.265,22.72,22.21,41.11K,0.0183
20-Sep-21,22.204,22.33,22.5,22.025,50.98K,-0.0069
19-Sep-21,22.358,22.302,22.392,22.142,-,0.0009
17-Sep-21,22.337,22.91,23.13,22.305,66.39K,-0.02
16-Sep-21,22.794,23.865,24,22.585,90.20K,-0.0423
