Date,Price,Open,High,Low,Vol.,Change %
31-Dec-21,1828.6,1817,1831.4,1815.4,106.60K,0.008
30-Dec-21,1814.1,1805.6,1818.1,1796.2,113.43K,0.0046
29-Dec-21,1805.8,1806.6,1808,1789.1,138.69K,-0.0028
28-Dec-21,1810.9,1812.1,1821.6,1805.5,100.54K,0.0012
27-Dec-21,1808.8,1810.2,1814.6,1803.6,84.23K,-0.0007
24-Dec-21,1810.1,1810.1,1810.1,1810.1,-,-0.0009
23-Dec-21,1811.7,1805.6,1812,1799,104.84K,0.0053
22-Dec-21,1802.2,1789.4,1806.3,1785.8,110.41K,0.0075
21-Dec-21,1788.7,1791.4,1801.7,1785,134.15K,-0.0033
20-Dec-21,1794.6,1800.2,1804.6,1789,105.39K,-0.0057
17-Dec-21,1804.9,1801.5,1815.7,1796.5,156.61K,0.0037
16-Dec-21,1798.2,1777.9,1800.7,1775.7,167.78K,0.0191
15-Dec-21,1764.5,1771.9,1781.3,1753,161.10K,-0.0044
14-Dec-21,1772.3,1787.6,1789.8,1766.1,153.25K,-0.0089
13-Dec-21,1788.3,1784.2,1792.8,1782.2,106.06K,0.002
10-Dec-21,1784.8,1776.3,1791,1770.4,142.00K,0.0046
9-Dec-21,1776.7,1784.3,1788.4,1773.3,123.97K,-0.0049
8-Dec-21,1785.5,1785.1,1794.3,1780.1,109.69K,0.0004
7-Dec-21,1784.7,1779.5,1789.3,1772.4,129.89K,0.0029
6-Dec-21,1779.5,1787.7,1789,1776.4,104.48K,-0.0025
3-Dec-21,1783.9,1769.4,1788,1766,175.18K,0.012
2-Dec-21,1762.7,1783.8,1785.2,1762.2,172.72K,-0.0121
1-Dec-21,1784.3,1777.4,1795.7,1773.7,180.34K,0.0044
30-Nov-21,1776.5,1786.9,1811.4,1771.2,242.86K,-0.0049
29-Nov-21,1785.2,1795.2,1801.5,1782,151.37K,-0.0016
26-Nov-21,1788.1,1792.3,1819.3,1781.6,180.64K,-0.0024
25-Nov-21,1792.4,1789.8,1795.3,1787.75,-,0.0031
24-Nov-21,1786.9,1792.3,1798.8,1780.2,103.43K,0.0003
23-Nov-21,1786.3,1808.7,1815.2,1784.3,150.81K,-0.0126
22-Nov-21,1809.1,1850.7,1853,1805.3,140.29K,-0.0244
19-Nov-21,1854.3,1863.8,1870.5,1847,62.34K,-0.0052
18-Nov-21,1864,1871.7,1875.9,1859.4,50.58K,-0.0047
17-Nov-21,1872.8,1854.5,1873.1,1853.8,34.03K,0.0087
16-Nov-21,1856.7,1867.4,1881.9,1853.5,24.65K,-0.0067
15-Nov-21,1869.2,1876.3,1876.3,1861,87.36K,-0.0009
12-Nov-21,1870.8,1866.3,1873.3,1849.9,28.48K,0.0024
11-Nov-21,1866.3,1853.9,1870.8,1847.6,47.68K,0.0085
10-Nov-21,1850.6,1835.7,1872.8,1825.2,73.44K,0.0097
9-Nov-21,1832.9,1828.4,1836.9,1823.2,54.48K,0.0015
8-Nov-21,1830.2,1822.2,1830.4,1815.9,39.67K,0.0062
5-Nov-21,1819,1794.8,1822.2,1787.6,48.24K,0.013
4-Nov-21,1795.6,1773,1802.2,1773,8.08K,0.0168
3-Nov-21,1766,1791,1791,1761,6.75K,-0.0142
2-Nov-21,1791.5,1796.7,1799.4,1789.7,7.90K,-0.0036
1-Nov-21,1797.9,1786.8,1799.5,1782.9,11.68K,0.0067
29-Oct-21,1785.9,1803.3,1804.2,1774.6,9.21K,-0.0104
28-Oct-21,1804.7,1799.9,1814.6,1795.2,12.55K,0.0022
27-Oct-21,1800.8,1796.5,1802.7,1786.7,2.79K,0.003
26-Oct-21,1795.4,1810.8,1811.2,1784.9,3.37K,-0.0074
25-Oct-21,1808.8,1796.4,1813.3,1795.3,6.08K,0.0058
22-Oct-21,1798.3,1786.8,1817.5,1785.6,12.85K,0.0081
21-Oct-21,1783.8,1784.5,1791.6,1780,1.02K,-0.0017
20-Oct-21,1786.8,1771.5,1791.1,1771.1,4.21K,0.0081
19-Oct-21,1772.4,1766.8,1787.7,1765.6,1.56K,0.0027
18-Oct-21,1767.6,1769.5,1773.6,1762.8,1.57K,-0.0015
15-Oct-21,1770.2,1799.4,1799.4,1767,3.80K,-0.0164
14-Oct-21,1799.8,1795.7,1803.6,1789.9,4.07K,0.0017
13-Oct-21,1796.7,1761.9,1798.4,1760,5.67K,0.0202
12-Oct-21,1761.2,1755.7,1771.7,1753.8,4.82K,0.002
11-Oct-21,1757.7,1760.3,1762.3,1752.1,4.27K,-0.001
8-Oct-21,1759.4,1756.4,1783.2,1755.6,7.54K,-0.001
7-Oct-21,1761.1,1765.7,1769.3,1754.5,5.37K,-0.0015
6-Oct-21,1763.7,1762.4,1767.4,1747.9,3.61K,0.0005
5-Oct-21,1762.8,1772.9,1772.9,1751.1,4.83K,-0.0037
4-Oct-21,1769.4,1762.4,1772.6,1749.7,2.67K,0.0053
1-Oct-21,1760.1,1759.1,1766.4,1751.6,5.81K,0.0009
30-Sep-21,1758.5,1728.1,1766.3,1724.5,15.87K,0.0195
29-Sep-21,1724.9,1736,1747.6,1723.7,2.05K,-0.0084
28-Sep-21,1739.5,1752.8,1755.6,1729.9,2.58K,-0.0083
27-Sep-21,1754,1754.2,1762.6,1748,1.82K,0.0001
24-Sep-21,1753.8,1746,1759.9,1743,1.77K,0.0011
23-Sep-21,1751.8,1771.4,1778.6,1740,2.14K,-0.0164
22-Sep-21,1781,1777.1,1789.7,1767.2,2.85K,0.0004
21-Sep-21,1780.3,1767.8,1784.6,1761.3,2.22K,0.0082
20-Sep-21,1765.9,1755.6,1770,1745.6,3.38K,0.0071
17-Sep-21,1753.4,1756.8,1769.1,1750,2.61K,-0.003
16-Sep-21,1758.7,1798.1,1798.6,1747.5,1.68K,-0.0213
15-Sep-21,1796.9,1808.3,1809.6,1794.1,0.93K,-0.0068
14-Sep-21,1809.2,1796.4,1812.7,1783,1.75K,0.0071
13-Sep-21,1796.5,1791.3,1802.1,1786.8,3.76K,0.0013
10-Sep-21,1794.2,1797.9,1807.7,1790.4,2.89K,-0.0044
9-Sep-21,1802.1,1793.6,1804.8,1787.8,5.86K,0.0036
8-Sep-21,1795.7,1798.9,1805.5,1785.6,2.03K,-0.0027
7-Sep-21,1800.6,1834,1834,1796,3.45K,-0.0137
6-Sep-21,1825.65,1829.95,1830.65,1823.65,-,-0.0024
5-Sep-21,1830.05,1832.2,1832.5,1829.65,-,-0.0031
3-Sep-21,1835.7,1813.5,1838.7,1813.5,3.62K,0.0123
2-Sep-21,1813.4,1818.4,1821,1809.5,2.29K,-0.0025
1-Sep-21,1818,1818.6,1824.3,1813.8,2.59K,-0.0012
31-Aug-21,1820.1,1814.4,1821.8,1806.6,0.79K,0.0033
30-Aug-21,1814.2,1822.9,1828,1812.6,0.41K,-0.004
27-Aug-21,1821.5,1796.7,1823.7,1788.7,0.88K,0.0135
26-Aug-21,1797.2,1795.2,1802.1,1783.4,0.97K,0.0023
25-Aug-21,1793,1805.9,1805.9,1787,0.44K,-0.0097
24-Aug-21,1810.5,1809.5,1814,1805.3,0.59K,0.0012
23-Aug-21,1808.3,1783.8,1810.3,1780.2,1.26K,0.0125
20-Aug-21,1786,1784.2,1792.3,1782,0.70K,0.0005
19-Aug-21,1785.1,1791.5,1796.3,1776.6,2.50K,-0.0007
18-Aug-21,1786.4,1790.4,1797.5,1784.1,1.23K,-0.0019
17-Aug-21,1789.8,1791,1799,1785,1.72K,-0.0012
16-Aug-21,1791.9,1782.4,1793,1775.2,0.68K,0.0065
