Date,Price,Open,High,Low,Vol.,Change %
31-Dec-21,1147.9,1145,1151,1127.7,0.06K,-0.0085
30-Dec-21,1157.7,1160,1170.2,1139.4,0.10K,-0.01
29-Dec-21,1169.4,1132.8,1172.1,1101.7,0.19K,0.0236
28-Dec-21,1142.4,1128,1142.4,1126.8,0.17K,0.041
27-Dec-21,1097.4,1076.4,1097.4,1070,0.16K,0.0428
23-Dec-21,1052.4,1026.2,1052.4,1026.2,0.13K,0.0293
22-Dec-21,1022.4,1000.7,1025.1,990.2,0.21K,0.0175
21-Dec-21,1004.8,1038.6,1043.7,999.1,0.42K,-0.0376
20-Dec-21,1044.1,1063,1063,1044.1,0.19K,-0.0413
17-Dec-21,1089.1,1105,1115,1089.1,0.23K,-0.0268
16-Dec-21,1119.1,1122.1,1125,1105,0.26K,0.0087
15-Dec-21,1109.5,1099,1135.4,1085.2,0.27K,0.0037
14-Dec-21,1105.4,1129,1136.9,1080,0.22K,-0.008
13-Dec-21,1114.3,1103.5,1114.3,1073,0.25K,0.0421
10-Dec-21,1069.3,1069.3,1069.3,1028.6,0.32K,0.0439
9-Dec-21,1024.3,1024.3,1024.3,1024.3,0.08K,0.046
8-Dec-21,979.3,950.6,979.3,950.6,0.12K,0.0316
7-Dec-21,949.3,971,977.5,900.7,0.36K,0.0135
6-Dec-21,936.7,902.8,936.7,902.8,0.10K,0.0361
4-Dec-21,904.1,904.1,904.1,904.1,-,-0.0029
3-Dec-21,906.7,925,939.9,897.4,0.34K,-0.0085
2-Dec-21,914.5,898.5,914.5,872.1,0.33K,0.0518
1-Dec-21,869.5,854.6,869.5,854.6,0.27K,0.0546
30-Nov-21,824.5,804.7,824.5,804.7,0.38K,0.0378
29-Nov-21,794.5,773,796.2,769.6,0.22K,0.0369
26-Nov-21,766.2,770.8,779.5,764.2,0.15K,-0.032
24-Nov-21,791.5,783,804.5,777.1,0.13K,0.0155
23-Nov-21,779.4,780.1,789.3,760.1,0.18K,0.0088
22-Nov-21,772.6,800.5,831.8,772,0.45K,-0.0365
19-Nov-21,801.9,764.5,802,748,0.64K,0.0593
18-Nov-21,757,735.7,757,702.2,0.53K,0.0632
17-Nov-21,712,697.2,712,697,0.13K,0.0675
16-Nov-21,667,649,667,649,0.16K,0.2444
